SiteId,Exclusive,OverlapId1,OverlapPercent1,OverlapId2,OverlapPercent2,OverlapId3,OverlapPercent3,OverlapId4,OverlapPercent4
49538,50.2,37041,3.5,49551,4.4,58150,5.7,40020,3.5
49551,66.4,43283,2.0,37227,2.0,56447,2.0,52519,2.0
51461,36.9,45110,6.9,45128,6.5,44550,6.0,60887,5.1
51674,70.8,1425,2.1,33364,1.8,37227,2.8,52519,1.8
58150,39.8,42810,3.2,60887,6.5,38959,3.7,50195,7.9
60887,38.2,45128,4.4,38732,4.7,58150,5.1,46400,4.7
56447,63.4,46400,2.4,49551,2.8,48905,2.4,38311,4.1
64216,58.6,45128,5.9,16617,5.4,47845,3.6,65204,7.7
58842,71.0,55053,1.1,52070,1.4,60887,1.4,48905,1.1
57719,38.1,55053,7.2,60887,8.7,47845,5.3,58150,7.5
